score,suitability,format,unknown_class_count,missing_model_count,name,path,features,reason,unknown_classes,missing_models
46,优先测试,ui,6,3,wanvideo_skyreels_a2_example_01.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\VACE14b工作流\节点\ComfyUI-WanVideoWrapper\example_workflows\wanvideo_skyreels_a2_example_01.json,image_input;prompt;video_nodes;video_output;wan_video,video、wan、wan2、vace、audio、lip、pose、修复,GetNode;ImageRemoveBackground+;MarkdownNote;SetNode;SimpleMath+;TransparentBGSession+,umt5_xxl_fp16.safetensors;clip_vision_h.safetensors;Wan2_1_SkyreelsA2_fp8_e4m3fn.safetensors
45,优先测试,unknown,0,0,tokenizer.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\VACE14b工作流\节点\ComfyUI-WanVideoWrapper\configs\T5_tokenizer\tokenizer.json,,video、wan、vace、sonic、animate、infinite、talk、audio、lip、pose、depth、story,,
45,优先测试,ui,2,1,产品&角色360°展示.json,D:\ComfyUI-Models\comfyui_workflow\FLUX工作流合集\万物迁移大模型 ACE++FFT工作流\工作流\产品&角色360°展示.json,image_input;prompt;video_nodes;video_output;wan_video,video、wan、wan2、audio、lip,Int;TextInput_,Wan2.1 I2V LoRA-360 度旋转.safetensors
45,优先测试,ui,3,2,15.NSFW-AIO v10 图生视频.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\5.图生视频类\15.NSFW-AIO v10 图生视频.json,image_input;prompt;video_nodes;video_output;wan_i2v,video、wan、wan2、animate、audio、lip、镜头、图生视频、NSFW/需安全改写,LayerUtility: ImageScaleByAspectRatio V2;MathExpression|pysssss;Primitive integer [Crystools],clip_vision_h.safetensors;wan2.2-i2v-rapid-aio-v10-nsfw.safetensors
44,优先测试,ui,1,0,通义万相图片转视频.json,D:\ComfyUI-Models\comfyui_workflow\FLUX工作流合集\flux+wan2.1万相通义(nsfw)\通义万相图片转视频.json,image_input;prompt;video_nodes;video_output;wan_video,video、wan、wan2、audio、lip、NSFW/需安全改写,ImageResize+,
44,优先测试,ui,4,4,wanvideo_FLF2V_720P_example_01.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\VACE14b工作流\节点\ComfyUI-WanVideoWrapper\example_workflows\wanvideo_FLF2V_720P_example_01.json,image_input;prompt;video_nodes;video_output;wan_video,video、wan、wan2、vace、audio、lip、修复,GetNode;ImageResize+;MarkdownNote;SetNode,umt5_xxl_fp16.safetensors;clip_vision_h.safetensors;open-clip-xlm-roberta-large-vit-huge-14_visual_fp16.safetensors;Wan2_1-FLF2V-14B-720P_fp8_e4m3fn.safetensors
43,优先测试,ui,2,2,13..Wan2.2-AllInOne图生视频流-NF.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\5.图生视频类\13..Wan2.2-AllInOne图生视频流-NF.json,image_input;prompt;video_nodes;video_output;wan_i2v,video、wan、wan2、audio、lip、镜头、图生视频、NSFW/需安全改写,LayerUtility: ImageScaleByAspectRatio V2;LayerUtility: PurgeVRAM,clip_vision_h.safetensors;wan2.2-i2v-rapid-aio-v10-nsfw.safetensors
43,优先测试,ui,7,3,单图生成lora工作流.json,D:\ComfyUI-Models\comfyui_workflow\FLUX工作流合集\一张图生成lora工作流\工作流及模型\单图生成lora工作流.json,image_input;prompt;video_nodes;video_output;wan_i2v,video、wan、wan2、animate、audio、lip、pose、story,GroundingDinoModelLoader (segment anything);GroundingDinoSAMSegment (segment anything);ImageRemoveBackground+;MaskPreview+;MatAnyoneVideoMatting;SAMModelLoader (segment anything);TransparentBGSession+,clip_vision_h.safetensors;Wan2.1-360_epoch20.safetensors;rife47.pth
42,优先测试,ui,2,3,01.图生视频-NF.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\5.图生视频类\01.图生视频-NF.json,image_input;prompt;video_nodes;video_output;wan_i2v,video、wan、wan2、animate、audio、lip、图生视频、NSFW/需安全改写,JWInteger;LayerUtility: ImageScaleByAspectRatio V2,"clip_vision_h.safetensors;wan2.2-i2v-rapid-aio-v10-nsfw.safetensors;SM, NSFQPKB.safetensors"
40,优先测试,ui,3,2,01.Sonic-对口型.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\7.音生视频类\01.Sonic-对口型.json,audio_or_lipsync;image_input;video_nodes;video_output,video、sonic、animate、audio、lip、音生视频、对口型,SONICSampler;SONICTLoader;SONIC_PreData,unet.pth;svd_xt_1_1.safetensors
39,优先测试,unknown,0,0,tokenizer.json,D:\ComfyUI-Models\comfyui_workflow\FLUX工作流合集\deepseek+Comfyui文生图工作流（附模型安装方法）\Janus-Pro模型\Janus-Pro-1B\tokenizer.json,,video、wan、sonic、animate、infinite、talk、audio、lip、pose、depth、story,,
39,优先测试,unknown,0,0,tokenizer.json,D:\ComfyUI-Models\comfyui_workflow\FLUX工作流合集\deepseek+Comfyui文生图工作流（附模型安装方法）\Janus-Pro模型\Janus-Pro-7B\tokenizer.json,,video、wan、sonic、animate、infinite、talk、audio、lip、pose、depth、story,,
39,优先测试,ui,3,4,14.图生视频v10-nf.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\5.图生视频类\14.图生视频v10-nf.json,image_input;prompt;video_nodes;video_output;wan_i2v,video、wan、wan2、animate、audio、lip、图生视频、NSFW/需安全改写,CR Prompt Text;JWInteger;LayerUtility: ImageScaleByAspectRatio V2,n_wan_umt5-xxl_fp8_scaled.safetensors;clip_vision_h.safetensors;wan2.2-i2v-rapid-aio-v10-nsfw.safetensors;Wan21_AccVid_T2V_14B_lora_rank32_fp16.safetensors
39,优先测试,ui,7,1,LTXV+13B稳定优化版图生视频双模式V1.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\（comfyui）AI全系视频整合包\LTXV+13B稳定优化版图生视频双模式V1.json,image_input;ltx_video;prompt;video_nodes;video_output,video、ltx、audio、lip、pose、story、图生视频、修复,JWImageResizeByLongerSide;JWInteger;LayerUtility: ImageAutoCrop V3;LayerUtility: PurgeVRAM V2;Note Plus (mtb);RH_Captioner;Text Concatenate,ltxv-13b-0.9.7-dev.safetensors
38,优先测试,ui,0,2,Wan2.1+文生视频+LoRA+工作流 .json,D:\ComfyUI-Models\comfyui_workflow\FLUX工作流合集\Wan2(1).1视频生成工作+flux节点\Wan2.1+文生视频+LoRA+工作流 .json,image_input;prompt;video_nodes;video_output,video、wan、wan2、audio、lip、文生视频,,clip_vision_h.safetensors;Wan2.1 I2V LoRA-360 度旋转.safetensors
38,优先测试,ui,0,2,Wan2.1+文生视频+LoRA+工作流 .json,D:\ComfyUI-Models\comfyui_workflow\FLUX工作流合集\Wan2.1视频生成工作+flux节点\Wan2.1+文生视频+LoRA+工作流 .json,image_input;prompt;video_nodes;video_output,video、wan、wan2、audio、lip、文生视频,,clip_vision_h.safetensors;Wan2.1 I2V LoRA-360 度旋转.safetensors
37,优先测试,ui,1,5,05.文生视频GGUFQ4A.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\4.文生视频类\05.文生视频GGUFQ4A.json,prompt;video_nodes;video_output,video、wan、wan2、audio、lip、镜头、文生视频、动作,LoaderGGUF,wan_2.1_vae_fp8_e4m3fn.safetensors;Wan2.2-Lightning_T2V-A14B-4steps-lora_LOW_fp16.safetensors;Wan2.2-Lightning_T2V-A14B-4steps-lora_HIGH_fp16.safetensors;Wan2.2-T2V-A14B-HighNoise-Q4_K_S.gguf;Wan2.2-T2V-A14B-LowNoise-Q4_K_S.gguf
37,优先测试,ui,1,5,06.文生视频GGUFQ8A.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\4.文生视频类\06.文生视频GGUFQ8A.json,prompt;video_nodes;video_output,video、wan、wan2、audio、lip、镜头、文生视频、动作,LoaderGGUF,wan_2.1_vae_fp8_e4m3fn.safetensors;Wan2.2-Lightning_T2V-A14B-4steps-lora_HIGH_fp16.safetensors;Wan2.2-Lightning_T2V-A14B-4steps-lora_LOW_fp16.safetensors;Wan2.2-T2V-A14B-LowNoise-Q8_0.gguf;Wan2.2-T2V-A14B-HighNoise-Q8_0.gguf
37,优先测试,ui,8,10,flux_kontextDev_Wan_VideoTools.json,D:\ComfyUI-Models\comfyui_workflow\FLUX工作流合集\Kontext+FusionX工作流\flux_kontextDev_Wan_VideoTools.json,prompt;video_nodes;video_output;wan_i2v,video、wan、wan2、vace、talk、audio、lip、pose、动作,Fast Groups Bypasser (rgthree);GetNode;Label (rgthree);LayerUtility: PurgeVRAM;LoadImageFromPath;MarkdownNote;SetNode;UnetLoaderGGUFDisTorchMultiGPU,clip_vision_h.safetensors;│   │   └── flux1-dev-kontext_fp8_scaled.safetensors;│       ├── clip_l.safetensors;│       └── t5xxl_fp16.safetensors 或者 t5xxl_fp8_e4m3fn_scaled.safetensors;flux1-kontext-dev-Q8_0.gguf;super-realism.safetensors;Wan2.1_I2V_14B_FusionX-Q6_K.gguf;umt5_xxl_fp16.safetensors;Wan14Bi2vFusioniX_fp16.safetensors;Wan-14B-T2V-FusionX-VACE-FP16.safetensors
35,优先测试,ui,2,2,13.SAM2 VS Sec4B对比工作流.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\6.视频生视频\13.SAM2 VS Sec4B对比工作流.json,video_input;video_nodes;video_output,video、wan、ltx、animate、audio、lip、视频生视频,SeCModelLoader;SeCVideoSegmentation,sam2_hiera_base_plus.safetensors;SeC-4B-fp16.safetensors
35,优先测试,ui,3,6,03.WAN2.2-ALLINONE首尾帧加速流-NF.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\5.图生视频类\03.WAN2.2-ALLINONE首尾帧加速流-NF.json,image_input;prompt;video_nodes;video_output,video、wan、wan2、audio、lip、首尾帧、图生视频,Fast Groups Bypasser (rgthree);LayerUtility: PurgeVRAM;SimpleMath+,OmniSR_X2_DIV2K.safetensors;Wan21_I2V_14B_lightx2v_cfg_step_distill_lora_rank64.safetensors;lightx2v_T2V_14B_cfg_step_distill_v2_lora_rank64_bf16.safetensors;clip_vision_h.safetensors;wan2.2_i2v_high_noise_14B_Q4_K_S.gguf;wan2.2_i2v_low_noise_14B_Q4_K_S.gguf
34,优先测试,ui,4,2,MimicMotion 上传图片生成跳舞 图生视频 图片跳舞 (1).json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\MimicMotion 照片转跳舞工作流\MimicMotion 上传图片生成跳舞 图生视频 图片跳舞 (1).json,image_input;video_input;video_nodes;video_output,video、mimicmotion、animate、audio、pose、图生视频、修复,DownloadAndLoadMimicMotionModel;MimicMotionDecode;MimicMotionGetPoses;MimicMotionSampler,MimicMotionMergedUnet_1-0-fp16.safetensors;rife47.pth
34,优先测试,ui,7,1,Ltxv+13B+Extend视频扩展优化稳定版（不炸显存）V2.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\（comfyui）AI全系视频整合包\Ltxv+13B+Extend视频扩展优化稳定版（不炸显存）V2.json,image_input;ltx_video;prompt;video_nodes;video_output,video、ltx、audio、lip、pose、story、修复,JWImageResizeByLongerSide;JWInteger;LayerUtility: ImageAutoCrop V3;LayerUtility: PurgeVRAM V2;Note Plus (mtb);RH_Captioner;Text Concatenate,ltxv-13b-0.9.7-dev.safetensors
33,优先测试,ui,0,3,02.wan2.2文生视频.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\4.文生视频类\02.wan2.2文生视频.json,prompt;video_nodes;video_output,video、wan、wan2、audio、lip、文生视频,,wan2.2_t2v_low_noise_14B_Q4_K_S.gguf;wan2.2_t2v_high_noise_14B_Q4_K_S.gguf;lightx2v_T2V_14B_cfg_step_distill_v2_lora_rank128_bf16.safetensors.safetensors
33,优先测试,ui,1,1,03.Wan2.2-AllInOne文生视频流-NF.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\4.文生视频类\03.Wan2.2-AllInOne文生视频流-NF.json,prompt;video_nodes;video_output,video、wan、wan2、audio、lip、镜头、文生视频、NSFW/需安全改写,LayerUtility: PurgeVRAM,wan2.2-t2v-rapid-aio-v10-nsfw.safetensors
33,优先测试,ui,4,2,MimicMotion 上传图片生成跳舞 图生视频 图片跳舞 (1).json,D:\ComfyUI-Models\comfyui_workflow\FLUX工作流合集\MimicMotion 照片转跳舞视频工作流\工作流\MimicMotion 上传图片生成跳舞 图生视频 图片跳舞 (1).json,image_input;video_input;video_nodes;video_output,video、mimicmotion、animate、audio、pose、图生视频,DownloadAndLoadMimicMotionModel;MimicMotionDecode;MimicMotionGetPoses;MimicMotionSampler,MimicMotionMergedUnet_1-0-fp16.safetensors;rife47.pth
32,优先测试,ui,5,1,LTXV+13B高动态首尾帧优化版V1.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\（comfyui）AI全系视频整合包\LTXV+13B高动态首尾帧优化版V1.json,image_input;ltx_video;prompt;video_nodes;video_output,video、ltx、audio、lip、首尾帧、修复,CR Prompt Text;JWImageResizeByLongerSide;JWInteger;LayerUtility: ImageAutoCrop V3;Note Plus (mtb),ltxv-13b-0.9.7-dev.safetensors
31,优先测试,ui,3,2,Sonic数字人.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\数字人 Sonic，说话 唱歌 Rap 样样精通!\Sonic数字人.json,audio_or_lipsync;image_input;video_nodes;video_output,video、sonic、audio、lip、数字人、修复,SONICSampler;SONICTLoader;SONIC_PreData,unet.pth;svd_xt_1_1.safetensors
30,优先测试,ui,2,2,01.文生视频-NF.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\4.文生视频类\01.文生视频-NF.json,prompt;video_nodes;video_output,video、wan、wan2、animate、audio、lip、文生视频、NSFW/需安全改写,ImageFromBatch+;JWInteger,"SM, NSFQPKB.safetensors;wan2.2-t2v-rapid-aio-v10-nsfw.safetensors"
30,优先测试,ui,5,0,FramePack超长图生视频工作流.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\（comfyui）AI全系视频整合包\FramePack超长图生视频工作流.json,image_input;prompt;video_nodes;video_output,video、framepack、animate、audio、图生视频、修复,CR Prompt Text;JWInteger;LayerUtility: PurgeVRAM V2;Note Plus (mtb);RunningHub_FramePack,
29,优先测试,ui,3,1,04.Wan2.2+All-in-one-文生视频-NF.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\4.文生视频类\04.Wan2.2+All-in-one-文生视频-NF.json,prompt;video_nodes;video_output,video、wan、wan2、animate、audio、lip、文生视频、NSFW/需安全改写,ImageFromBatch+;JWInteger;LayerUtility: PurgeVRAM,wan2.2-t2v-rapid-aio-v10-nsfw.safetensors
29,优先测试,ui,6,3,视频移除物体_人物_字幕.json,D:\ComfyUI-Models\comfyui_workflow\FLUX工作流合集\DiffuEraser：用于视频补全修复，去水印、去字幕、去除指定物体 (附工作流+模型)\工作流\视频移除物体_人物_字幕.json,image_input;video_input;video_nodes;video_output,video、wan、ltx、animate、audio、lip、修复,BiRefNet_Hugo;DiffuEraserLoader;DiffuEraserSampler;Fast Groups Bypasser (rgthree);LayerUtility: ImageScaleByAspectRatio V2;easy int,sam2_hiera_base_plus.safetensors;写实：majicMIX realistic 麦橘写实_v7.safetensors;pcm_sd15_smallcfg_2step_converted.safetensors
28,优先测试,ui,2,1,01.图片及视频高清放大修复.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\8.高清放大类\01.图片及视频高清放大修复.json,image_input;video_input;video_nodes;video_output,video、animate、audio、修复、高清,Fast Groups Muter (rgthree);SeedVR2,seedvr2_ema_3b_fp8_e4m3fn.safetensors
28,优先测试,ui,6,3,视频移除物体_人物_字幕.json,D:\ComfyUI-Models\comfyui_workflow\FLUX工作流合集\视频移除物体_人物_字幕.json,image_input;video_input;video_nodes;video_output,video、wan、ltx、animate、audio、lip,BiRefNet_Hugo;DiffuEraserLoader;DiffuEraserSampler;Fast Groups Bypasser (rgthree);LayerUtility: ImageScaleByAspectRatio V2;easy int,sam2_hiera_base_plus.safetensors;写实：majicMIX realistic 麦橘写实_v7.safetensors;pcm_sd15_smallcfg_2step_converted.safetensors
66,候选,ui,10,4,06.Fish-Wan2.2-AIO-首尾帧15秒连续长视频版-nf.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\5.图生视频类\06.Fish-Wan2.2-AIO-首尾帧15秒连续长视频版-nf.json,audio_or_lipsync;image_input;prompt;video_nodes;video_output;wan_i2v,video、wan、wan2、animate、audio、lip、pose、首尾帧、长视频、连续、图生视频、文生视频,Fast Groups Bypasser (rgthree);GetNode;Int;LayerUtility: ImageScaleByAspectRatio V2;PlaySound|pysssss;SetNode;SimpleMath+;WanMoeKSampler;workflow>Clip Text;workflow>加速节点,clip_vision_h.safetensors;rife49.pth;wan2.2-i2v-rapid-aio-v10-nsfw.safetensors;wan2.2-rapid-mega-nsfw-aio-v3.1.safetensors
59,辅助/后期,ui,17,10,14.Wan视频编辑V5-简易-替换单人-最新V2版模型.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\6.视频生视频\14.Wan视频编辑V5-简易-替换单人-最新V2版模型.json,image_input;prompt;video_input;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、talk、audio、lip、pose、视频生视频、视频编辑,Bookmark (rgthree);DrawViTPose;Fast Groups Bypasser (rgthree);GetImageSize+;GetNode;Label (rgthree);MarkdownNote;Mute / Bypass Relay (rgthree);Mute / Bypass Repeater (rgthree);Note Plus (mtb);OnnxDetectionModelLoader;PoseAndFaceDetection;SetNode;easy cleanGpuUsed;easy clearCacheAll,vitpose-l-wholebody.onnx;yolov10m.onnx;sam2_hiera_base_plus.safetensors;clip_vision_h.safetensors;WanAnimate_relight_lora_fp16.safetensors;Wan2.2-Lightning_I2V-A14B-4steps-lora_LOW_fp16.safetensors;FastWan_T2V_14B_480p_lora_rank_128_bf16.safetensors;Wan21_PusaV1_LoRA_14B_rank512_bf16.safetensors;Wan2.2-Fun-A14B-InP-LOW-HPS2.1_resized_dynamic_avg_rank_15_bf16.safetensors;Wan2_2-Animate-14B_fp8_scaled_e4m3fn_KJ_v2.safetensors
50,候选,ui,12,7,01.WanAnimate+Sec 一键换头.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\6.视频生视频\01.WanAnimate+Sec 一键换头.json,image_input;prompt;video_input;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、talk、audio、lip、pose、视频生视频,DrawViTPose;GetNode;Int;LayerMask: LoadSegmentAnythingModels;LayerMask: SegmentAnythingUltra V3;LayerUtility: ImageScaleByAspectRatio V2;OnnxDetectionModelLoader;PoseAndFaceDetection;SeCModelLoader;SeCVideoSegmentation;SetNode;Textbox,clip_vision_h.safetensors;vitpose-l-wholebody.onnx;yolov10m.onnx;Wan2_2-Animate-14B_fp8_scaled_e4m3fn_KJ_v2.safetensors;WanAnimate_relight_lora_fp16.safetensors;Wan21_I2V_14B_lightx2v_cfg_step_distill_lora_rank64.safetensors;SeC-4B-fp32.safetensors
50,候选,ui,12,7,02.WanAnimate+Sec 一键换主体.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\6.视频生视频\02.WanAnimate+Sec 一键换主体.json,image_input;prompt;video_input;video_nodes;video_output;wan_video,video、wan、wan2、vace、animate、talk、audio、lip、pose、视频生视频,DrawViTPose;GetNode;Int;LayerMask: LoadSegmentAnythingModels;LayerMask: SegmentAnythingUltra V3;LayerUtility: ImageScaleByAspectRatio V2;OnnxDetectionModelLoader;PoseAndFaceDetection;SeCModelLoader;SeCVideoSegmentation;SetNode;Textbox,vitpose-l-wholebody.onnx;yolov10m.onnx;clip_vision_h.safetensors;Wan2_2-Animate-14B_fp8_scaled_e4m3fn_KJ_v2.safetensors;WanAnimate_relight_lora_fp16.safetensors;Wan21_I2V_14B_lightx2v_cfg_step_distill_lora_rank64.safetensors;SeC-4B-fp32.safetensors
38,候选,ui,10,2,LTXV+13B+图生视频潜空间放大（不炸显存）.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\（comfyui）AI全系视频整合包\LTXV+13B+图生视频潜空间放大（不炸显存）.json,image_input;ltx_video;prompt;video_nodes;video_output,video、ltx、audio、lip、pose、story、图生视频、修复,CR Prompt Text;JWImageResizeByLongerSide;JWInteger;LTXVFilmGrain;LTXVLatentUpsamplerModelLoader;LayerUtility: ImageAutoCrop V3;LayerUtility: PurgeVRAM V2;Note Plus (mtb);RH_Captioner;Text Concatenate,ltxv-13b-0.9.7-dev.safetensors;ltxv-spatial-upscaler-0.9.7.safetensors
25,候选,ui,8,4,Framepack首尾帧动画.json,D:\ComfyUI-Models\comfyui_workflow\FLUX工作流合集\Framepack首尾帧工作流\工作流\Framepack首尾帧动画.json,image_input;prompt;video_nodes;video_output,video、framepack、audio、lip、首尾帧,FramePackFindNearestBucket;FramePackSampler;GetNode;ImageResize+;LoadFramePackModel;MarkdownNote;SetNode;easy cleanGpuUsed,hunyuan_video_vae_bf16.safetensors;llava_llama3_fp8_scaled.safetensors;sigclip_vision_patch14_384.safetensors;FramePackI2V_HY_fp8_e4m3fn.safetensors
23,候选,ui,13,4,11.PIA图生视频.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\5.图生视频类\11.PIA图生视频.json,image_input;prompt;video_nodes;video_output,video、animate、audio、lip、图生视频,ADE_AnimateDiffSamplingSettings;ADE_ApplyAnimateDiffModelWithPIA;ADE_InputPIA_Multival;ADE_LoadAnimateDiffModel;ADE_MultivalDynamicFloatInput;ADE_StandardStaticContextOptions;ADE_UseEvolvedSampling;BatchPromptScheduleLatentInput;BatchValueSchedule;GetImageSize+;ICLightConditioning;LayerUtility: ImageScaleByAspectRatio V2;LoadAndApplyICLightUnet,pia.ckpt;majicmixRealistic_v7.safetensors;vaeFtMse840000Ema_v10.safetensors;iclight_sd15_fc_unet_ldm.safetensors
22,候选,ui,0,2,09.Wan2.2文生图.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\2.文生图片类\09.Wan2.2文生图.json,prompt;video_nodes,video、wan、wan2、lip、姿势,,wan2.2_t2v_low_noise_14B_Q4_K_S.gguf;wan2.2_t2v_high_noise_14B_Q4_K_S.gguf
21,辅助/后期,ui,24,10,转绘完整版v3-修脸.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\转汇文件\转绘完整版v3-修脸.json,image_input;pose_control;prompt;video_nodes;video_output,video、animate、audio、lip、pose、修复,ADE_AnimateDiffLoaderWithContext;ADE_AnimateDiffModelSettingsSimple;ADE_AnimateDiffUniformContextOptions;Anything Everywhere;BNK_InjectNoise;CR Apply LoRA Stack;CR LoRA Stack;Cfg Literal;CheckpointLoaderSimpleWithNoiseSelect;ControlNetLoaderAdvanced;GetNode;GroundingDinoModelLoader (segment anything);GroundingDinoSAMSegment (segment anything);IPAdapterApply;InsightFaceLoader,clip_h.pth;control_v11p_sd15_openpose.pth;control_v11p_sd15_softedge.pth;bxc8.safetensors;motionModel_v01.ckpt;yolox_l.onnx;dw-ll_ucoco_384_bs5.torchscript.pt;rife47.pth;face_yolov8n_v2.pt;afgchillmix_10.safetensors
19,候选,ui,1,3,14.文生图GGUFQ4A.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\2.文生图片类\14.文生图GGUFQ4A.json,prompt;video_nodes,video、wan、wan2、lip、姿势,LoaderGGUF,Wan21_T2V_14B_lightx2v_cfg_step_distill_lora_rank64.safetensors;wan_2.1_vae_fp8_e4m3fn.safetensors;Wan2.2-T2V-A14B-LowNoise-Q4_K_S.gguf
19,候选,ui,1,3,15.文生图GGUFQ8A.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\2.文生图片类\15.文生图GGUFQ8A.json,prompt;video_nodes,video、wan、wan2、lip、姿势,LoaderGGUF,Wan21_T2V_14B_lightx2v_cfg_step_distill_lora_rank64.safetensors;wan_2.1_vae_fp8_e4m3fn.safetensors;Wan2.2-T2V-A14B-LowNoise-Q8_0.gguf
18,候选,ui,0,2,04.WAN2.2-nsfw文生图.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\2.文生图片类\04.WAN2.2-nsfw文生图.json,prompt;video_nodes,video、wan、wan2、lip、姿势、NSFW/需安全改写,,v1-5-pruned-emaonly-fp16.safetensors;wan2.2-rapid-mega-nsfw-aio-v3.1.safetensors
16,辅助/后期,ui,1,3,图像风格转绘工作流.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\视频转绘（vace）\图像风格转绘工作流.json,image_input;prompt,vace、lip、depth、视频转绘、修复,LayerUtility: ImageScaleByAspectRatio V2,flux_dev-ControlNet-Union-Pro-2.0.safetensors;flux1-dev-fp8.safetensors;幻想写实 _ （触发词：Fantasy Realism)_v1.0.safetensors
16,辅助/后期,ui,2,5,视频转绘稳定工作流.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\视频转绘工作流\视频转绘稳定工作流.json,prompt;video_nodes;video_output,video、audio、lip、视频转绘、修复、NSFW/需安全改写,ControlNetLoaderAdvanced;SmoothVideo,control_v11f1e_sd15_tile.pth;control_v11p_sd15_lineart.pth;Rel_majicMIX realistic V7.safetensors;SDMAI繁花肖像写真fanhua_V1.0.safetensors;lcm-lora-sdv1-5.safetensors
15,辅助/后期,ui,2,5,视频转绘稳定工作流(1).json,D:\ComfyUI-Models\comfyui_workflow\FLUX工作流合集\视频转绘稳定工作流(1).json,prompt;video_nodes;video_output,video、audio、lip、视频转绘、NSFW/需安全改写,ControlNetLoaderAdvanced;SmoothVideo,control_v11f1e_sd15_tile.pth;control_v11p_sd15_lineart.pth;Rel_majicMIX realistic V7.safetensors;SDMAI繁花肖像写真fanhua_V1.0.safetensors;lcm-lora-sdv1-5.safetensors
14,辅助/后期,unknown,0,0,special_tokens_map.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\VACE14b工作流\节点\ComfyUI-WanVideoWrapper\configs\T5_tokenizer\special_tokens_map.json,,video、wan、vace、修复,,
14,辅助/后期,unknown,0,0,tokenizer_config.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\VACE14b工作流\节点\ComfyUI-WanVideoWrapper\configs\T5_tokenizer\tokenizer_config.json,,video、wan、vace、修复,,
14,辅助/后期,unknown,0,0,transformer_config_i2v.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\VACE14b工作流\节点\ComfyUI-WanVideoWrapper\configs\transformer_config_i2v.json,,video、wan、vace、修复,,
14,辅助/后期,unknown,0,0,recam_extrinsics.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\VACE14b工作流\节点\ComfyUI-WanVideoWrapper\recammaster\recam_extrinsics.json,,video、wan、vace、修复,,
14,辅助/后期,ui,1,1,12.肖像大师.json,D:\ComfyUI-Models\comfyui_workflow\4.工作流\workflows\2.文生图片类\12.肖像大师.json,prompt,lip、镜头、姿势、表情,PortraitMaster_中文版,xxmix9realisticsdxl_v10.safetensors
13,辅助/后期,ui,0,0,SDXL 室内效果图.json,D:\ComfyUI-Models\comfyui_workflow\电商，换脸，转绘，老照片修复等等工作流\室内SDXL渲染工作流\SDXL 室内效果图.json,image_input;prompt,lip、depth、canny、修复,,
